sample name ,polycomb Island mean methylation,chronological age (weeks),mouse name
GSM3436261_O1_TA_Hi_10.cov,0.0470266,26,old1
GSM3436262_O1_TA_Hi_11.cov,0.0389973,26,old1
GSM3436263_O1_TA_Hi_12.cov,0.0491374,26,old1
GSM3436264_O1_TA_Hi_13.cov,0.0401409,26,old1
GSM3436265_O1_TA_Hi_14.cov,0.0443458,26,old1
GSM3436266_O1_TA_Hi_15.cov,0.0410444,26,old1
GSM3436267_O1_TA_Hi_16.cov,0.0429402,26,old1
GSM3436268_O1_TA_Hi_17.cov,0.0438301,26,old1
GSM3436269_O1_TA_Hi_18.cov,0.0470592,26,old1
GSM3436270_O1_TA_Hi_19.cov,0.0472193,26,old1
GSM3436271_O1_TA_Hi_1.cov,0.0441333,26,old1
GSM3436272_O1_TA_Hi_20.cov,0.0450005,26,old1
GSM3436273_O1_TA_Hi_21.cov,0.0412219,26,old1
GSM3436274_O1_TA_Hi_22.cov,0.039157,26,old1
GSM3436275_O1_TA_Hi_23.cov,0.0495687,26,old1
GSM3436276_O1_TA_Hi_24.cov,0.0388054,26,old1
GSM3436277_O1_TA_Hi_25.cov,0.0422019,26,old1
GSM3436278_O1_TA_Hi_26.cov,0.0418869,26,old1
GSM3436279_O1_TA_Hi_27.cov,0.0428968,26,old1
GSM3436280_O1_TA_Hi_28.cov,0.04637,26,old1
GSM3436281_O1_TA_Hi_29.cov,0.0408003,26,old1
GSM3436282_O1_TA_Hi_2.cov,0.0397989,26,old1
GSM3436283_O1_TA_Hi_30.cov,0.0450403,26,old1
GSM3436284_O1_TA_Hi_32.cov,0.0411341,26,old1
GSM3436285_O1_TA_Hi_33.cov,0.0469404,26,old1
GSM3436286_O1_TA_Hi_34.cov,0.0436591,26,old1
GSM3436287_O1_TA_Hi_35.cov,0.045439,26,old1
GSM3436288_O1_TA_Hi_38.cov,0.041029,26,old1
GSM3436289_O1_TA_Hi_39.cov,0.0436242,26,old1
GSM3436290_O1_TA_Hi_3.cov,0.0453806,26,old1
GSM3436291_O1_TA_Hi_40.cov,0.0453994,26,old1
GSM3436292_O1_TA_Hi_41.cov,0.0393582,26,old1
GSM3436293_O1_TA_Hi_42.cov,0.0474806,26,old1
GSM3436294_O1_TA_Hi_43.cov,0.0457127,26,old1
GSM3436295_O1_TA_Hi_44.cov,0.0486956,26,old1
GSM3436297_O1_TA_Hi_47.cov,0.0465287,26,old1
GSM3436298_O1_TA_Hi_48.cov,0.043301,26,old1
GSM3436299_O1_TA_Hi_5.cov,0.0410289,26,old1
GSM3436300_O1_TA_Hi_6.cov,0.0491674,26,old1
GSM3436301_O1_TA_Hi_7.cov,0.0440026,26,old1
GSM3436302_O1_TA_Hi_8.cov,0.0413685,26,old1
GSM3436303_O1_TA_Hi_9.cov,0.0431424,26,old1
GSM3436312_O8_TA_Hi_18.cov,0.346947,26,old3
GSM3436313_O8_TA_Hi_19.cov,0.044351,26,old3
GSM3436319_O8_TA_Hi_24.cov,0.5025,26,old3
GSM3436320_O8_TA_Hi_25.cov,0.0449275,26,old3
GSM3436322_O8_TA_Hi_27.cov,0.291703,26,old3
GSM3436326_O8_TA_Hi_30.cov,0.115298,26,old3
GSM3436328_O8_TA_Hi_32.cov,0.566162,26,old3
GSM3436329_O8_TA_Hi_33.cov,0.0407347,26,old3
GSM3436332_O8_TA_Hi_36.cov,0.333734,26,old3
GSM3436344_O8_TA_Hi_47.cov,0.0797015,26,old3
GSM3436351_O8_TA_Hi_9.cov,0.0443799,26,old3
GSM3436488_O5_TA_Hi_10.cov,0.0409064,26,old2
GSM3436489_O5_TA_Hi_11.cov,0.039471,26,old2
GSM3436490_O5_TA_Hi_12.cov,0.0469469,26,old2
GSM3436491_O5_TA_Hi_13.cov,0.0436287,26,old2
GSM3436492_O5_TA_Hi_14.cov,0.0384189,26,old2
GSM3436493_O5_TA_Hi_15.cov,0.0425268,26,old2
GSM3436494_O5_TA_Hi_16.cov,0.0426145,26,old2
GSM3436495_O5_TA_Hi_17.cov,0.0420867,26,old2
GSM3436496_O5_TA_Hi_18.cov,0.164412,26,old2
GSM3436497_O5_TA_Hi_19.cov,0.045405,26,old2
GSM3436498_O5_TA_Hi_1.cov,0.0431437,26,old2
GSM3436499_O5_TA_Hi_20.cov,0.041414,26,old2
GSM3436500_O5_TA_Hi_21.cov,0.0418312,26,old2
GSM3436501_O5_TA_Hi_22.cov,0.0441109,26,old2
GSM3436502_O5_TA_Hi_23.cov,0.0420695,26,old2
GSM3436503_O5_TA_Hi_24.cov,0.085811,26,old2
GSM3436504_O5_TA_Hi_25.cov,0.0417036,26,old2
GSM3436505_O5_TA_Hi_26.cov,0.0437503,26,old2
GSM3436506_O5_TA_Hi_27.cov,0.0423186,26,old2
GSM3436507_O5_TA_Hi_28.cov,0.0557898,26,old2
GSM3436508_O5_TA_Hi_29.cov,0.0417189,26,old2
GSM3436509_O5_TA_Hi_2.cov,0.0386721,26,old2
GSM3436510_O5_TA_Hi_30.cov,0.0476415,26,old2
GSM3436511_O5_TA_Hi_31.cov,0.0410359,26,old2
GSM3436512_O5_TA_Hi_32.cov,0.042412,26,old2
GSM3436513_O5_TA_Hi_33.cov,0.0413343,26,old2
GSM3436514_O5_TA_Hi_34.cov,0.0409776,26,old2
GSM3436515_O5_TA_Hi_35.cov,0.0503467,26,old2
