sample_name	celltype2	chronological_age(weeks)	polycomb_islands_mean_methylation
B12_Plate01_A02	BCell	10	0.0459229
B12_Plate01_A04	BCell	10	0.0527084
B12_Plate01_A07	BCell	10	0.0562085
B12_Plate01_B01	BCell	10	0.0544579
B12_Plate01_B02	BCell	10	0.0597748
B12_Plate01_B03	BCell	10	0.0541947
B12_Plate01_B04	BCell	10	0.0550929
B12_Plate01_B08	BCell	10	0.0510305
B12_Plate01_C02	BCell	10	0.0712575
B12_Plate01_C05	BCell	10	0.0527993
B12_Plate01_C08	BCell	10	0.0538659
B12_Plate01_C09	BCell	10	0.0567837
B12_Plate01_C12	BCell	10	0.0546549
B12_Plate01_D02	BCell	10	0.0595185
B12_Plate01_D03	BCell	10	0.0479955
B12_Plate01_D05	BCell	10	0.0528105
B12_Plate01_D07	BCell	10	0.0489118
B12_Plate01_D10	BCell	10	0.0560427
B12_Plate01_D12	BCell	10	0.0510154
B12_Plate01_E05	BCell	10	0.0645404
B12_Plate01_E10	BCell	10	0.0436024
B12_Plate01_E11	BCell	10	0.053815
B12_Plate01_F12	BCell	10	0.0494571
B12_Plate01_G02	BCell	10	0.0584898
B12_Plate01_G06	BCell	10	0.0614628
B12_Plate01_G11	BCell	10	0.055918
B12_Plate01_H02	BCell	10	0.0526869
B12_Plate01_H04	BCell	10	0.050818
B12_Plate01_H05	BCell	10	0.0494036
B24_Plate01_A01	BCell	10	0.0527663
B24_Plate01_A03	BCell	10	0.0467351
B24_Plate01_A06	BCell	10	0.0498468
B24_Plate01_A07	BCell	10	0.0623511
B24_Plate01_A08	BCell	10	0.0597908
B24_Plate01_A09	BCell	10	0.0555296
B24_Plate01_A11	BCell	10	0.050053
B24_Plate01_B04	BCell	10	0.0584422
B24_Plate01_B08	BCell	10	0.06779
B24_Plate01_B09	BCell	10	0.0486969
B24_Plate01_B10	BCell	10	0.0419277
B24_Plate01_B11	BCell	10	0.0539551
B24_Plate01_B12	BCell	10	0.0564517
B24_Plate01_C04	BCell	10	0.0557581
B24_Plate01_C06	BCell	10	0.0525681
B24_Plate01_C07	BCell	10	0.0513036
B24_Plate01_C09	BCell	10	0.0500677
B24_Plate01_C11	BCell	10	0.0466977
B24_Plate01_C12	BCell	10	0.0480952
B24_Plate01_D02	BCell	10	0.0559689
B24_Plate01_D04	BCell	10	0.047522
B24_Plate01_D05	BCell	10	0.0504792
B24_Plate01_D06	BCell	10	0.0550829
B24_Plate01_D07	BCell	10	0.0565141
B24_Plate01_D10	BCell	10	0.0488289
B24_Plate01_D11	BCell	10	0.0556667
B24_Plate01_D12	BCell	10	0.0462215
B24_Plate01_E01	BCell	10	0.0546002
B24_Plate01_E02	BCell	10	0.0534261
B24_Plate01_E03	BCell	10	0.0525619
B24_Plate01_E04	BCell	10	0.0468549
B24_Plate01_E05	BCell	10	0.0451375
B24_Plate01_E08	BCell	10	0.0558718
B24_Plate01_E09	BCell	10	0.0541454
B24_Plate01_E10	BCell	10	0.0489047
B24_Plate01_E12	BCell	10	0.0550744
