sample_name	celltype2	Sub_celltype	chronological_age(weeks)	polycomb_islands_mean_methylation
B24_Plate01_B05	CD4	EffCD4T	10	0.0502017
B24_Plate01_C01	CD4	EffCD4T	10	0.0570791
B24_Plate01_G09	CD4	EffCD4T	10	0.039965
B14_Plate02_A05	CD4	EffCD4T	36	0.0576043
B14_Plate02_E07	CD4	EffCD4T	36	0.0568569
B14_Plate02_H02	CD4	EffCD4T	36	0.0588532
B15_Plate01_B01	CD4	EffCD4T	36	0.0605589
B15_Plate01_D12	CD4	EffCD4T	36	0.0514882
B15_Plate01_E01	CD4	EffCD4T	36	0.0583484
B15_Plate01_E05	CD4	EffCD4T	36	0.0631414
B15_Plate01_G01	CD4	EffCD4T	36	0.075836
B15_Plate01_G11	CD4	EffCD4T	36	0.0539328
B21_Plate06_C05	CD4	EffCD4T	77	0.0604677
B21_Plate06_D01	CD4	EffCD4T	77	0.0661977
B21_Plate06_D04	CD4	EffCD4T	77	0.070548
B21_Plate06_E08	CD4	EffCD4T	77	0.0646016
B21_Plate06_E10	CD4	EffCD4T	77	0.0562983
B21_Plate06_F09	CD4	EffCD4T	77	0.0764653
B22_Plate01_A01	CD4	EffCD4T	77	0.063326
B22_Plate01_B04	CD4	EffCD4T	77	0.0904078
B22_Plate01_D01	CD4	EffCD4T	77	0.0698117
B22_Plate01_D05	CD4	EffCD4T	77	0.0910702
B22_Plate01_D12	CD4	EffCD4T	77	0.050009
B22_Plate01_E01	CD4	EffCD4T	77	0.0560986
B22_Plate01_H10	CD4	EffCD4T	77	0.0812102
B23_Plate01_A02	CD4	EffCD4T	77	0.0755054
B23_Plate01_A03	CD4	EffCD4T	77	0.0812557
B23_Plate01_A08	CD4	EffCD4T	77	0.0738271
B23_Plate01_B01	CD4	EffCD4T	77	0.0832398
B23_Plate01_D09	CD4	EffCD4T	77	0.0670418
B23_Plate01_E01	CD4	EffCD4T	77	0.0473438
B23_Plate01_F03	CD4	EffCD4T	77	0.0730815
B23_Plate01_F04	CD4	EffCD4T	77	0.0694022
B23_Plate01_G04	CD4	EffCD4T	77	0.0753434
B23_Plate01_G12	CD4	EffCD4T	77	0.065779
B23_Plate01_H03	CD4	EffCD4T	77	0.0663766
B01_Plate01_B10	CD4	EffCD4T	100	0.0940616
B01_Plate01_D07	CD4	EffCD4T	100	0.0676828
B01_Plate01_H01	CD4	EffCD4T	100	0.106778
B02_Plate01_D07	CD4	EffCD4T	100	0.0843887
B02_Plate01_D09	CD4	EffCD4T	100	0.0680832
B02_Plate01_E05	CD4	EffCD4T	100	0.0564015
B03_Plate01_A05	CD4	EffCD4T	100	0.0576846
B03_Plate01_B11	CD4	EffCD4T	100	0.0588613
B03_Plate01_F02	CD4	EffCD4T	100	0.0656211
B24_Plate01_A10	CD4	NveCD4T	10	0.0622177
B24_Plate01_A12	CD4	NveCD4T	10	0.0556918
B24_Plate01_B07	CD4	NveCD4T	10	0.0568723
B24_Plate01_C08	CD4	NveCD4T	10	0.0544231
B24_Plate01_C10	CD4	NveCD4T	10	0.0539086
B24_Plate01_E07	CD4	NveCD4T	10	0.0545501
B24_Plate01_G06	CD4	NveCD4T	10	0.0529988
B24_Plate01_G12	CD4	NveCD4T	10	0.0593431
B24_Plate01_H10	CD4	NveCD4T	10	0.0571616
B12_Plate01_A01	CD4	NveCD4T	10	0.0660964
B12_Plate01_A05	CD4	NveCD4T	10	0.0566179
B12_Plate01_A12	CD4	NveCD4T	10	0.0569469
B12_Plate01_B11	CD4	NveCD4T	10	0.0544052
B12_Plate01_B12	CD4	NveCD4T	10	0.0598847
B12_Plate01_C04	CD4	NveCD4T	10	0.0574009
B12_Plate01_C07	CD4	NveCD4T	10	0.0574103
B12_Plate01_C11	CD4	NveCD4T	10	0.0521373
B12_Plate01_D11	CD4	NveCD4T	10	0.0634371
B12_Plate01_E04	CD4	NveCD4T	10	0.0579819
B12_Plate01_E06	CD4	NveCD4T	10	0.0501774
B12_Plate01_E12	CD4	NveCD4T	10	0.0611485
B12_Plate01_F02	CD4	NveCD4T	10	0.0626787
B12_Plate01_F07	CD4	NveCD4T	10	0.0469193
B12_Plate01_G03	CD4	NveCD4T	10	0.0521391
B12_Plate01_G05	CD4	NveCD4T	10	0.0547244
B12_Plate01_G08	CD4	NveCD4T	10	0.0549048
B12_Plate01_G09	CD4	NveCD4T	10	0.0466745
B12_Plate01_H07	CD4	NveCD4T	10	0.0591734
B12_Plate01_H08	CD4	NveCD4T	10	0.049567
B14_Plate02_A01	CD4	NveCD4T	36	0.0457204
B14_Plate02_A07	CD4	NveCD4T	36	0.0543565
